asset,output,status,input_kb,output_kb,saved_kb,saved_percent,width,height,duration_s,input_codec,audio_dropped
assets/products/darwin_ads.mp4,assets/products/darwin_ads-hq.webm,compressed,5101.78,6320.58,-1218.80,-23.89,1920,1080,14.487,h264,true
assets/products/darwin_studio.mp4,assets/products/darwin_studio-hq.webm,compressed,1455.57,1344.40,111.17,7.64,1920,1080,4.715,h264,true
